a, determiner, General, A1
a.m./A.M./am/AM, adverb, General, A1
abandon, verb, General, B1
ability, noun, General, A2
able, adjective, General, B1
abnormal, adjective, General, B1
aboard, adverb, General, B1
aborigine, noun, General, B1
about, adverb, General, A1
about, preposition, General, A1
above, adjective, General, B1
above, adverb, General, A1
above, preposition, General, A1
abroad, adverb, General, A2
absence, noun, General, B1
absent, adjective, General, B1
absolute, adjective, General, B1
absolutely, adverb, General, B1
absorb, verb, General, B1
abstract, adjective, General, B1
abundance, noun, General, B1
abundant, adjective, General, B1
academic, adjective, General, B1
academy, noun, General, B1
accent, noun, General, B1
accept, verb, General, A2
acceptable, adjective, General, A2
acceptance, noun, General, B1
access, noun, General, B1
accessible, adjective, General, B1
accessory, noun, General, B1
accident, noun, General, A2
accidental, adjective, General, B1
accidentally, adverb, General, B1
accompany, verb, work, B1
accomplish, verb, General, B1
according to, preposition, General, B1
account, noun, General, A2
account, verb, General, B1
accountant, noun, General, B1
accuracy, noun, General, B1
accurate, adjective, General, B1
accurately, adverb, General, B1
accuse, verb, General, B1
accustom, verb, General, B1
ache, noun, General, B1
achieve, verb, General, A2
achievement, noun, General, B1
acknowledge, verb, General, B1
acknowledgment/acknowledgement, noun, General, B1
acquaintance, noun, General, B1
acquire, verb, General, B1
across, adverb, General, A2
across, preposition, General, A2
act, noun, General, A2
act, verb, General, B1
action, noun, General, A1
active, adjective, General, B1
activity, noun, General, A1
actor, noun, General, A1
actress, noun, General, B1
actually, adverb, General, A2
ad, noun, General, B1
adapt, verb, General, B1
add, verb, General, A1
addition, noun, General, A2
additional, adjective, General, A2
address, noun, clothes, A1
address, verb, clothes, B1
addressee, noun, clothes, B1
adjective, noun, General, A2
adjust, verb, General, A2
administration, noun, General, B1
admiration, noun, General, B1
admire, verb, General, A2
admission, noun, General, B1
admit, verb, General, A2
adopt, verb, General, B1
adorable, adjective, General, B1
adult, adjective, General, A2
adult, noun, General, A2
advance, verb, General, B1
advanced, adjective, General, A2
advantage, noun, General, A2
adventure, noun, General, A2
adverb, noun, General, B1
adverbial, adjective, General, B1
advert, noun, General, B1
advertise, verb, General, B1
advertisement, noun, General, A2
advertising, noun, General, A2
advice, noun, General, A2
advise, verb, General, A2
adviser/advisor, noun, General, B1
aerobics, noun, General, B1
affair, noun, General, A2
affect, verb, General, B1
affection, noun, General, B1
afford, verb, General, B1
afraid, adjective, General, A1
after, adverb, General, A2
after, conjunction, General, B1
after, preposition, General, A1
afternoon, noun, General, A1
afterward, adverb, General, B1
afterwards, adverb, General, B1
again, adverb, General, A1
against, preposition, General, A2
age, noun, General, A1
aged, adjective, General, A2
agency, noun, General, A2
agenda, noun, General, B1
agent, noun, General, A2
aggressive, adjective, General, B1
ago, adverb, General, A1
agree, verb, General, A1
agreement, noun, General, B1
agricultural, adjective, General, B1
agriculture, noun, General, B1
ahead, adverb, General, A2
aid, noun, General, B1
aid, verb, General, B1
aim, noun, General, B1
air, noun, General, A2
air conditioning, noun, General, B1
air force, noun, General, B1
airline, noun, General, B1
airplane/aeroplane, noun, travel, A1
airport, noun, travel, A1
aisle, noun, General, A2
alarm, noun, General, A2
alarm, verb, General, B1
alarm clock, noun, General, A2
album, noun, General, A1
alcohol, noun, General, B1
alcoholic, adjective, General, B1
alike, adjective, General, B1
alike, adverb, General, B1
alive, adjective, General, A2
all, adverb, General, A2
all, determiner, General, A1
all, pronoun, General, A1
all right, adjective, General, A1
all right, adverb, General, A1
allergic, adjective, General, B1
allow, verb, General, A2
allowance, noun, General, B1
almost, adverb, General, A1
alone, adjective, General, A2
alone, adverb, General, A1
along, adverb, General, A1
along, preposition, General, A2
aloud, adverb, General, B1
alphabet, noun, General, B1
already, adverb, General, A1
alright, adjective, General, A2
alright, adverb, General, A2
also, adverb, General, A1
alternative, adjective, General, B1
alternative, noun, General, B1
although, conjunction, General, A2
altogether, adverb, General, B1
always, adverb, General, A1
am, be-verb, General, A1
amazed, adjective, General, B1
amazing, adjective, General, B1
ambition, noun, General, A2
ambitious, adjective, General, B1
ambulance, noun, General, B1
among, preposition, General, A2
amount, noun, General, B1
amused, adjective, General, A2
amusement, noun, General, A2
amusing, adjective, General, B1
an, determiner, General, A1
analysis, noun, General, B1
analyze/analyse, verb, General, B1
ancestor, noun, General, A2
ancient, adjective, General, A2
and, conjunction, General, A1
angel, noun, General, A2
anger, noun, General, B1
angle, noun, General, B1
angrily, adverb, General, A2
angry, adjective, General, A1
animal, noun, General, A1
animated, adjective, General, B1
animation, noun, General, B1
ankle, noun, General, A2
anniversary, noun, General, A2
announce, verb, General, B1
announcement, noun, General, B1
annoy, verb, General, A2
annoyance, noun, General, B1
annoyed, adjective, General, B1
annoying, adjective, General, A2
annual, adjective, General, B1
annually, adverb, General, B1
another, determiner, General, A1
another, pronoun, General, A2
answer, noun, General, A1
answer, verb, General, A1
ant, noun, General, B1
anti, adjective, General, B1
antique, noun, General, B1
antonym, noun, General, B1
anxiety, noun, General, B1
anxious, adjective, General, A2
anxiously, adverb, General, B1
any, determiner, General, A1
any, pronoun, General, A1
anybody, pronoun, health, A1
anyhow, adverb, General, B1
anymore, adverb, General, A2
anyone, pronoun, General, A1
anything, pronoun, General, A1
anyway, adverb, General, A2
anywhere, adverb, General, A2
apart, adverb, General, A2
apartment, noun, General, A2
ape, noun, General, B1
apologize/apologise, verb, General, A2
apology, noun, General, B1
apparent, adjective, General, B1
apparently, adverb, General, A2
appeal, noun, General, B1
appear, verb, General, A2
appearance, noun, General, A2
appetite, noun, General, B1
applaud, verb, General, B1
applause, noun, General, B1
apple, noun, food, A1
application, noun, animals, B1
apply, verb, General, A2
appoint, verb, General, B1
appointment, noun, General, A2
appreciate, verb, General, A2
appreciation, noun, General, B1
approach, noun, General, B1
appropriate, adjective, General, A2
approval, noun, General, B1
approve, verb, General, B1
approximately, adverb, General, B1
April, noun, General, A1
apron, noun, General, A1
architect, noun, General, B1
architecture, noun, General, A2
are, be-verb, General, A1
area, noun, General, A2
argue, verb, General, A2
argument, noun, General, A2
arise, verb, General, B1
arithmetic, noun, General, B1
arm, noun, General, A1
arm, verb, General, B1
armchair, noun, General, A2
armed, adjective, General, A2
army, noun, General, B1
around, adverb, General, A2
around, preposition, General, A1
arrange, verb, General, B1
arrangement, noun, General, B1
arrest, noun, General, B1
arrest, verb, General, B1
arrival, noun, General, B1
arrive, verb, General, A1
arrow, noun, General, B1
art, noun, General, A1
article, noun, General, A1
artificial, adjective, General, A2
artist, noun, General, B1
artistic, adjective, General, B1
as, conjunction, General, A2
as, preposition, General, A1
ashamed, adjective, General, B1
aside, adverb, General, B1
ask, verb, General, A1
asleep, adjective, General, A2
