correctly, adverb, General, A2
cost, noun, General, A2
cost, verb, General, A2
cotton, noun, General, B1
couch, noun, General, A1
cough, verb, General, B1
could, modal auxiliary, General, A1
council, noun, General, B1
counseling/counselling, noun, General, B1
count, noun, General, B1
count, verb, General, A2
counter, verb, General, B1
countless, adjective, General, B1
country, noun, General, A2
countryside, noun, General, A2
county, noun, General, B1
couple, noun, General, A2
courage, noun, General, B1
courageous, adjective, General, B1
courgette, noun, General, B1
course, noun, General, A1
court, noun, General, A2
cousin, noun, General, A1
cover, noun, General, A1
cover, verb, General, A2
cow, noun, animals, A1
craft, noun, General, B1
crash, noun, General, B1
crash, verb, General, B1
crazy, adjective, General, A2
cream, adjective, General, A2
cream, noun, General, A1
create, verb, food, A2
creative, adjective, food, A2
creativity, noun, food, A2
creator, noun, food, B1
creature, noun, food, A2
credit, noun, General, A2
credit card, noun, travel, A1
cricket, noun, General, A2
crime, noun, General, A2
criminal, noun, General, B1
crisis, noun, General, B1
crisp, noun, General, A2
critic, noun, General, B1
critical, adjective, General, B1
criticize/criticise, verb, General, A2
crop, noun, General, B1
cross, noun, General, A2
cross, verb, General, A2
crossing, noun, General, B1
crossroads, noun, General, B1
crow, noun, General, B1
crowd, noun, General, A2
crowded, adjective, General, A2
crown, noun, General, A2
cruel, adjective, General, B1
cruise, noun, General, A2
crush, noun, General, B1
cry, noun, General, A1
cry, verb, General, A2
cucumber, noun, General, B1
cultivate, verb, General, B1
cultural, adjective, General, B1
culture, noun, General, A1
cup, noun, General, A1
cupboard, noun, General, A2
cure, noun, General, B1
curiosity, noun, General, B1
curious, adjective, General, B1
curiously, adverb, General, B1
curly, adjective, General, B1
currency, noun, General, B1
current, adjective, General, B1
currently, adverb, General, B1
curriculum, noun, General, B1
curry, noun, General, A2
curse, noun, General, A2
curtain, noun, General, B1
curve, noun, General, B1
cushion, noun, General, B1
custom, noun, General, A2
customer, noun, General, A2
customs, noun, General, B1
cut, noun, General, B1
cut, verb, General, A1
cute, adjective, General, A1
CV, noun, General, B1
cycle, noun, General, B1
cycle, verb, General, B1
cycling, noun, General, A2
dad, noun, General, A1
daddy, noun, General, A1
daily, adjective, General, A2
daily, adverb, General, A2
daisy, noun, General, B1
dam, noun, General, A2
damage, noun, General, B1
damage, verb, General, B1
damaged, adjective, General, B1
damp, adjective, General, B1
dance, noun, General, A1
dance, verb, General, A1
dancer, noun, General, A2
dancing, noun, General, A1
danger, noun, General, A2
dangerous, adjective, General, A2
dangerously, adverb, General, B1
dare, verb, General, B1
dark, adjective, General, A1
darkness, noun, General, B1
date, noun, General, A1
date, verb, General, B1
dating, noun, General, B1
daughter, noun, General, A1
day, noun, General, A1
daylight, noun, General, A2
daze, noun, General, B1
dazzle, noun, General, B1
dead, adjective, General, A2
deadline, noun, General, B1
deadly, adjective, General, B1
deaf, adjective, General, B1
deal, noun, General, A2
deal, verb, General, B1
dealer, noun, General, B1
dear, adjective, General, A1
death, noun, food, A2
debate, noun, General, A2
debris, noun, General, B1
debt, noun, General, B1
December, noun, General, A1
decide, verb, General, A2
decision, noun, General, B1
declaration, noun, General, B1
declare, verb, General, B1
decline, noun, General, B1
decrease, noun, General, B1
decrease, verb, General, B1
dedicate, verb, animals, B1
deed, noun, General, B1
deep, adverb, General, A2
deeply, adverb, General, A2
defeat, verb, food, B1
defend, verb, General, B1
defender, noun, General, B1
defense/defence, noun, General, B1
deficiency, noun, General, B1
define, verb, General, B1
definite, adjective, General, B1
definite article, noun, General, B1
definitely, adverb, General, B1
definition, noun, General, B1
degree, noun, General, A2
delay, noun, General, A2
delay, verb, General, B1
delete, verb, General, B1
delicate, adjective, animals, B1
delicious, adjective, General, A1
delight, noun, General, B1
delighted, adjective, General, B1
delightful, adjective, General, B1
deliver, verb, General, B1
delivery, noun, General, B1
demand, noun, General, B1
demand, verb, General, B1
democracy, noun, General, B1
democratic, adjective, General, B1
demonstrate, verb, General, B1
