growth, noun, General, B1
guarantee, noun, General, B1
guard, noun, General, A2
guess, noun, General, B1
guess, verb, General, A1
guest, noun, General, A1
guidance, noun, General, B1
guide, noun, General, B1
guide, verb, General, B1
guidebook, noun, General, A2
guilt, noun, General, B1
guilty, adjective, General, B1
guitar, noun, General, A1
guitarist, noun, General, B1
gun, noun, General, A2
guy, noun, General, A1
gym, noun, General, B1
gymnastics, noun, General, B1
habit, noun, General, A1
habitat, noun, General, B1
had, have-verb, General, A1
hair, noun, General, A1
haircut, noun, General, A1
hairdresser, noun, clothes, B1
hairdryer, noun, General, B1
half, adverb, General, B1
half, determiner, General, A2
half, noun, General, A1
half, pronoun, General, A2
half-price, adjective, General, A2
half-price, adverb, General, A2
hall, noun, General, A1
ham, noun, General, A2
hamburger, noun, General, A1
hammer, noun, General, B1
hand, noun, General, A1
hand, verb, General, A2
handbag, noun, General, A2
handball, noun, sports, B1
hand-held, adjective, General, B1
handicapped, adjective, General, A2
handkerchief, noun, General, B1
handle, noun, General, A2
handle, verb, General, B1
handshake, noun, General, B1
handsome, adjective, General, A1
handwriting, noun, General, B1
handy, adjective, General, B1
hang, verb, General, B1
hanging, adjective, General, B1
happen, verb, General, A1
happily, adverb, General, A2
happiness, noun, General, A2
happy, adjective, General, A1
harbor/harbour, noun, General, B1
hard, adjective, General, A1
hard, adverb, General, A1
hardly, adverb, General, A2
hardship, noun, General, B1
hard-working, adjective, General, B1
harm, verb, General, A2
harmful, adjective, General, A2
harmony, noun, General, A2
harness, noun, General, B1
harvest, noun, General, A2
has, have-verb, General, A1
hasty, adjective, General, B1
hat, noun, clothes, A1
hatch, noun, clothes, B1
hate, noun, clothes, B1
hate, verb, clothes, A2
hatred, noun, clothes, B1
haunt, noun, General, B1
have, have-verb, General, A1
have to, modal auxiliary, General, A1
haven, noun, General, B1
hazard, noun, General, B1
he, pronoun, General, A1
head, noun, General, A1
head, verb, General, A2
headache, noun, General, A1
headline, noun, General, B1
headphone, noun, technology, A2
headteacher, noun, work, A2
heal, verb, General, B1
healing, adjective, General, B1
health, noun, General, A1
healthy, adjective, General, A1
hear, verb, General, A1
hearing, noun, General, B1
heart, noun, General, A1
heart attack, noun, General, B1
hearted, adjective, General, B1
hearty, adjective, General, B1
heat, noun, food, A2
heat, verb, food, B1
heater, noun, food, B1
heating, noun, food, A2
heaven, noun, General, B1
heavenly, adjective, General, B1
heavily, adverb, General, A2
heavy, adjective, General, A1
heel, noun, General, B1
height, noun, General, B1
hello, noun, General, A1
helmet, noun, General, B1
help, noun, General, A2
help, verb, General, A1
helpful, adjective, General, A2
helpless, adjective, General, B1
her, determiner, General, A1
her, pronoun, General, A1
herd, noun, General, B1
here, adverb, General, A1
hero, noun, General, A2
hers, pronoun, General, A1
herself, pronoun, General, A2
hesitate, verb, General, B1
hey, interjection, General, A2
hi, interjection, General, A1
hidden, adjective, General, B1
hide, verb, General, A1
high, adjective, General, A1
high, adverb, General, A2
high school, noun, General, A2
highlight, verb, General, B1
highly, adverb, General, B1
highway, noun, General, A2
hike, noun, General, A2
hiking, noun, General, A2
hill, noun, General, A1
him, pronoun, General, A1
himself, pronoun, General, A2
hip, noun, General, B1
hip hop/hip-hop/hiphop, noun, General, A2
hire, verb, General, B1
his, determiner, General, A1
his, pronoun, General, A1
historian, noun, General, B1
historic, adjective, General, B1
historical, adjective, General, B1
history, noun, General, A1
hit, noun, General, B1
hit, verb, General, A2
HIV, noun, General, B1
hobby, noun, General, A1
hockey, noun, General, A2
hold, noun, General, A1
hold, verb, General, A2
hole, noun, General, A1
holiday, noun, General, A1
holy, adjective, General, B1
home, adverb, General, A2
home, noun, General, A1
homeless, adjective, General, B1
hometown, noun, General, A1
homework, noun, General, A1
honest, adjective, General, B1
honestly, adverb, General, B1
honesty, noun, General, B1
honey, noun, General, A2
honeymoon, noun, General, B1
honor/honour, noun, General, A2
hop, noun, General, B1
hope, noun, General, A1
hope, verb, General, B1
hopeful, adjective, General, B1
hopefully, adverb, General, B1
hopeless, adjective, General, B1
horizon, noun, General, B1
horn, noun, General, B1
horrible, adjective, General, B1
horrify, verb, General, B1
horror, noun, General, A2
horse, noun, animals, A1
hospital, noun, health, A1
host, noun, General, A2
hostel, noun, General, B1
hot, adjective, General, A1
hotel, noun, travel, A1
hour, noun, General, A1
house, noun, General, A1
household, noun, General, B1
housework, noun, General, B1
how, adverb, General, A1
however, adverb, General, A2
hug, verb, General, A2
