obtain, verb, General, B1
obvious, adjective, General, B1
obviously, adverb, General, B1
occasion, noun, General, B1
occasion, verb, General, B1
occasional, adjective, General, B1
occasionally, adverb, General, B1
occupation, noun, General, A2
occupy, verb, General, B1
occur, verb, General, B1
ocean, noun, General, B1
o'clock, adverb, General, A1
October, noun, General, A1
of, preposition, General, A1
off, adjective, General, A1
off, adverb, General, A2
off, preposition, General, B1
offensive, adjective, General, B1
offer, noun, General, A2
offer, verb, General, A2
office, noun, work, A1
officer, noun, work, A1
official, adjective, General, A2
officially, adverb, General, B1
often, adverb, General, A1
oil, noun, General, A2
oily, adjective, General, B1
OK/okay, adjective, General, A1
OK/okay, adverb, General, A1
old, adjective, General, A1
old-fashioned, adjective, General, B1
olive oil, noun, General, A2
Olympic, adjective, General, A2
Olympics, noun, General, A1
omelet/omelette, noun, General, A2
on, adverb, General, A2
on, preposition, General, A1
once, adverb, General, A1
one, determiner, General, A1
one, number, General, A1
one, pronoun, General, A2
oneself, pronoun, General, B1
onion, noun, General, A2
online, adjective, technology, A2
online, adverb, technology, A2
only, adjective, General, A1
only, adverb, General, A1
onstage, adjective, General, B1
onto/on to, preposition, General, B1
open, adjective, General, A1
open, verb, General, A1
opening, noun, General, B1
opera, noun, General, A1
operate, verb, General, A2
operation, noun, General, B1
opinion, noun, General, A2
opportunity, noun, General, A2
oppose, verb, General, A2
opposite, adjective, General, A2
opposite, adverb, General, B1
opposite, noun, General, B1
opposite, preposition, General, A2
opposition, noun, General, B1
oppress, verb, General, B1
oppression, noun, General, B1
option, noun, General, B1
or, conjunction, General, A1
oral, noun, General, B1
orange, adjective, General, A1
orange, noun, General, A1
orbit, noun, General, B1
orchestra, noun, General, B1
order, noun, General, A1
order, verb, General, A2
orderly, adjective, General, B1
ordinary, adjective, General, B1
organ, noun, General, B1
organic, adjective, General, B1
organism, noun, General, B1
organization/organisation, noun, General, B1
organize/organise, verb, General, A2
organized/organised, adjective, General, A2
origin, noun, General, B1
original, adjective, General, A2
orphan, noun, General, A2
other, determiner, General, A1
other, pronoun, General, A2
otherwise, adverb, General, B1
ought to, modal auxiliary, General, B1
our, determiner, General, A1
ours, pronoun, General, A1
ourselves, pronoun, General, A2
out, adverb, General, A1
out of, preposition, General, A2
outdoor, adjective, General, B1
outdoors, adverb, General, B1
outer, adjective, General, B1
outlaw, noun, General, B1
outline, verb, General, B1
out-of-date, adjective, General, B1
outside, adverb, General, A1
outside, preposition, General, A2
outstanding, adjective, General, B1
outward, adjective, General, B1
outweigh, verb, General, B1
oven, noun, General, A2
over, adverb, General, A2
over, preposition, General, A1
overcome, verb, General, B1
overjoyed, adjective, General, B1
overnight, adjective, General, B1
overnight, adverb, General, B1
overseas, adverb, General, A2
overweight, adjective, General, A2
overwhelm, verb, General, B1
overwhelming, adjective, General, B1
overwork, noun, General, B1
owe, verb, General, B1
owing, adjective, sports, B1
own, adjective, General, A1
own, pronoun, General, A2
own, verb, General, B1
owner, noun, General, A1
oxygen, noun, General, B1
p.m./P.M./pm/PM, adverb, General, A1
pace, noun, General, B1
pacific, adjective, General, A2
pack, noun, General, A2
pack, verb, General, A2
package, noun, General, B1
packing, noun, General, B1
paddle, noun, General, B1
page, noun, General, A1
paid, adjective, General, B1
pain, noun, health, B1
painful, adjective, health, B1
paint, noun, health, A1
paint, verb, health, A1
painter, noun, health, A2
painting, noun, health, A1
pair, noun, General, A1
pal, noun, General, A2
palace, noun, General, A1
pale, adjective, General, B1
palm, noun, General, B1
pan, noun, General, A2
panic, noun, General, A2
pants, noun, General, A1
paper, noun, General, A1
parachute, noun, General, B1
paradise, noun, General, B1
paragraph, noun, General, A1
paralyze/paralyse, verb, General, B1
parcel, noun, General, B1
pardon, noun, General, A1
pardon, verb, General, B1
parent, noun, General, A1
parental, adjective, General, B1
park, noun, General, A1
park, verb, General, A2
parking, noun, General, B1
parrot, noun, General, B1
part, noun, General, A2
partial, adjective, General, B1
participant, noun, General, B1
participate, verb, General, B1
participle, noun, General, B1
particularly, adverb, General, B1
partly, adverb, General, A2
partner, noun, General, A1
part-time, adjective, General, B1
part-time, adverb, General, B1
party, noun, General, A1
pass, noun, General, A2
pass, verb, General, A2
passage, noun, General, A2
passenger, noun, General, A2
passion, noun, General, B1
passive, adjective, General, B1
passport, noun, sports, B1
password, noun, General, B1
past, adjective, General, B1
past, adverb, General, A1
past, preposition, General, A1
pasta, noun, General, A2
path, noun, General, A2
patience, noun, General, B1
patient, adjective, General, B1
patient, noun, General, A2
patrol, noun, General, B1
pattern, noun, General, B1
pause, noun, General, B1
pause, verb, General, B1
pay, noun, General, A1
pay, verb, General, A1
PC, noun, General, A2
pea, noun, General, A2
peace, noun, General, A1
peaceful, adjective, General, A2
peanut, noun, General, B1
pear, noun, General, A2
peculiar, adjective, General, B1
pen, noun, General, A1
pence, noun, General, A2
pencil, noun, General, A1
penfriend/pen friend, noun, General, A2
penniless, adjective, General, B1
penny, noun, General, B1
people, noun, General, A1
pepper, noun, General, A2
per, preposition, General, B1
percent/per cent, noun, General, B1
perfect, adjective, General, A2
perfectly, adverb, General, A2
perform, verb, General, A2
performance, noun, General, A2
