simultaneously, adverb, General, B1
since, conjunction, General, B1
since, preposition, General, A2
sing, verb, General, A1
singer, noun, General, A1
singing, noun, General, A2
single, adjective, General, A2
single, noun, General, B1
singular, adjective, General, A2
singular, noun, General, A2
sink, noun, General, A2
sink, verb, General, B1
sir, noun, General, A1
sister, noun, General, A1
sit, verb, General, A1
site, noun, General, A1
sitting room, noun, General, A2
situation, noun, General, A2
six, number, General, A1
sixteen, number, General, A1
sixty, number, General, A1
size, noun, General, A1
skate, noun, General, A2
skate, verb, General, B1
skateboarding, noun, General, A2
skating, noun, General, A2
skeleton, noun, General, B1
ski, noun, General, A2
ski, verb, General, B1
skiing, noun, General, A2
skill, noun, General, A1
skin, noun, General, B1
skirt, noun, clothes, A1
sky, noun, General, A1
skyscraper, noun, General, B1
slave, noun, General, A2
slavery, noun, General, B1
sleep, noun, General, B1
sleep, verb, General, A1
sleepless, adjective, General, A2
sleepy, adjective, General, A2
sleeve, noun, General, B1
slice, noun, General, A2
slide, noun, General, A2
slight, noun, General, B1
slightly, adverb, General, B1
slim, adjective, General, A2
slip, noun, General, B1
slip, verb, General, B1
slogan, noun, General, B1
slope, noun, General, B1
slot, noun, General, B1
slow, adjective, General, A1
slow, adverb, General, B1
slow, verb, General, B1
slowly, adverb, General, A2
small, adjective, General, A1
smart, adjective, General, A1
smell, noun, General, A1
smell, verb, General, B1
smile, noun, General, A1
smile, verb, General, B1
smith, noun, General, A1
smoke, noun, General, A1
smoke, verb, General, A2
smoker, noun, General, B1
smoking, noun, General, A1
smooth, adjective, General, A2
smoothly, adverb, General, A2
snack, noun, General, A2
snake, noun, General, A1
sneeze, noun, General, B1
snow, noun, General, A1
snow, verb, General, A2
snowboard, noun, General, B1
snowboarding, noun, General, A2
snowstorm, noun, General, B1
snowy, adjective, General, A1
so, adverb, General, A2
so, conjunction, General, A1
soap, noun, General, A2
soap opera, noun, General, B1
soccer, noun, General, A1
social, adjective, General, A1
social networking, noun, General, B1
socially, adverb, General, B1
society, noun, General, A2
sock, noun, clothes, A2
soda, noun, General, A2
sofa, noun, General, A1
soft, adjective, General, A2
soft drink, noun, General, A2
softly, adverb, General, A2
software, noun, technology, A2
soil, verb, General, B1
soldier, noun, General, A2
solid, adjective, General, B1
solution, noun, General, A2
solve, verb, General, A1
some, determiner, General, A1
some, pronoun, General, A1
somebody, pronoun, health, A2
someday, adverb, General, A2
somehow, adverb, General, B1
someone, pronoun, General, A1
someplace, adverb, General, B1
something, pronoun, General, A1
sometime, adverb, General, B1
sometimes, adverb, General, B1
somewhere, adverb, General, A2
son, noun, General, A1
song, noun, General, A1
soon, adverb, General, A1
soothe, verb, General, B1
sophomore, noun, General, B1
sore, adjective, General, B1
sorrow, noun, General, B1
sorry, adjective, General, A1
sort, noun, General, B1
soul, noun, General, B1
sound, noun, General, A2
sound, verb, General, A2
soup, noun, General, A1
sour, adjective, General, B1
source, noun, General, A2
south, adjective, General, A2
south, adverb, General, A2
south, noun, General, A2
southeast, adjective, General, B1
southeast, noun, General, B1
southern, adjective, General, B1
southwest, adjective, General, B1
southwest, noun, General, B1
souvenir, noun, General, B1
space, noun, General, A2
spaceship, noun, General, A2
spaghetti, noun, General, A2
sparkle, noun, General, B1
speak, verb, General, A1
speaker, noun, General, A2
special, adjective, General, A1
specialist, noun, General, B1
specialize/specialise, verb, General, B1
specially, adverb, General, B1
specific, adjective, General, A2
spectacular, adjective, General, B1
spectator, noun, General, B1
speech, noun, General, A1
speed, noun, General, A2
speed, verb, General, B1
spell, noun, General, A1
spell, verb, General, A2
spelling, noun, General, B1
spend, verb, General, A1
sphere, noun, General, B1
spice, noun, General, B1
spicy, adjective, General, B1
spider, noun, General, B1
spill, verb, General, A2
spinach, noun, General, B1
spiral, adjective, General, B1
spirit, noun, General, B1
spiritual, adjective, General, B1
splash, verb, General, A2
split, adjective, General, A2
split, noun, General, B1
spoil, verb, General, B1
sponge, noun, General, B1
sponsor, noun, General, B1
spoon, noun, General, A2
sport, noun, sports, A1
sports, adjective, sports, B1
sports center/sports centre, noun, sports, A2
sportsmanship, noun, sports, B1
spot, noun, General, A1
spread, noun, General, A2
spring, noun, General, A1
spy, noun, General, A1
square, adjective, General, A2
square, noun, General, A2
stable, adjective, General, B1
stadium, noun, General, A2
staff, noun, General, A2
stage, noun, General, A1
stair, noun, General, A2
stall, noun, General, B1
stamp, noun, General, A2
stand, noun, General, A1
stand, verb, General, A2
standard, noun, General, B1
star, noun, General, A1
star, verb, General, B1
stare, verb, General, B1
start, noun, General, A1
start, verb, General, A1
state, noun, General, A2
statement, noun, General, A2
station, noun, travel, A1
statue, noun, General, A2
status, noun, General, B1
stay, noun, General, B1
stay, verb, General, A1
steadily, adverb, General, B1
steady, adjective, General, B1
steak, noun, General, A2
steal, verb, General, A2
steam, noun, sports, B1
steel, noun, General, B1
steep, adjective, General, B1
stem, verb, General, B1
step, noun, General, A2
step, verb, General, A1
stick, verb, General, B1
sticker, noun, General, B1
sticky, adjective, General, B1
still, adjective, General, A1
still, adverb, General, A2
stir, verb, General, B1
stomach, noun, General, A2
stomachache, noun, General, A2
stone, noun, General, A1
stop, noun, General, A1
stop, verb, General, A1
storage, noun, General, B1
store, noun, General, A1
storm, noun, General, A2
stormy, adjective, General, B1
story, noun, General, A1
storyteller, noun, General, B1
stove, noun, General, A2
straight, adjective, General, A2
straight, adverb, General, A1
strain, noun, General, B1
strange, adjective, General, A1
strangely, adverb, General, B1
stranger, noun, General, A2
strategic, adjective, General, B1
strategy, noun, General, A2
straw, noun, General, B1
strawberry, noun, General, B1
stream, noun, General, B1
stream, verb, General, B1
street, noun, General, A1
strength, noun, General, A2
strengthen, verb, General, B1
stress, noun, General, B1
stressed, adjective, General, B1
stressful, adjective, General, B1
stretch, verb, General, B1
stricken, adjective, General, B1
strict, adjective, General, A1
strike, noun, General, A2
strike, verb, General, B1
string, noun, General, A2
strip, noun, General, B1
stripe, noun, General, B1
strong, adjective, General, A1
strongly, adverb, General, A2
structure, noun, General, A2
struggle, noun, General, B1
stubborn, adjective, General, B1
stuck, adjective, General, B1
student, noun, General, A1
studio, noun, General, B1
study, noun, General, A2
study, verb, General, A1
stuff, noun, General, A2
stuffed, adjective, General, B1
stumble, verb, General, B1
stun, verb, General, B1
stunning, adjective, General, B1
stupid, adjective, General, B1
style, noun, General, A2
stylish, adjective, General, B1
subconscious, adjective, General, B1
subject, noun, General, A1
submarine, noun, General, B1
substantial, adjective, General, B1
substitute, noun, General, B1
subway, noun, General, A1
succeed, verb, General, A2
success, noun, General, A2
successful, adjective, General, A1
successfully, adverb, General, A2
such, determiner, General, A2
such, pronoun, General, A2
sudden, adjective, General, A2
suddenly, adverb, General, B1
suffer, verb, General, B1
sufficient, adjective, General, B1
suffix, noun, General, B1
sugar, noun, food, A1
suggest, verb, General, A2
suggestion, noun, General, A1
suicide, noun, General, B1
suit, noun, clothes, A2
suit, verb, clothes, A2
suitable, adjective, clothes, A2
suitcase, noun, clothes, A2
sum, noun, General, A1
summarize/summarise, verb, General, B1
summary, noun, General, A2
summer, noun, General, A1
summit, noun, General, B1
sun, noun, General, A1
sunbathe, verb, General, B1
Sunday, noun, General, A1
sundial, noun, General, B1
sunflower, noun, General, A2
sunglasses, noun, General, A2
sunlight, noun, General, A2
sunny, adjective, General, A1
sunrise, noun, General, B1
sunset, noun, General, B1
sunshine, noun, General, A1
super, adjective, General, A1
superior, adjective, General, B1
superlative, noun, General, A2
supermarket, noun, General, A1
superstar, noun, General, A2
superstition, noun, General, B1
supper, noun, General, A2
supply, noun, General, B1
support, noun, General, A2
support, verb, General, B1
supporter, noun, General, B1
supportive, adjective, General, B1
suppose, verb, General, B1
supposedly, adverb, General, B1
sure, adjective, General, A1
sure, adverb, General, A2
surely, adverb, General, B1
surf, noun, General, A1
surf, verb, General, A2
